var1,var2,var2_EN,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94
2003,东城区,Dongcheng Qu,110101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,西城区,Xicheng Qu,110102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,崇文区,Chongwen Qu,110103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,宣武区,Xuanwu Qu,110104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,朝阳区,Chaoyang Qu,110105,1598000,241594,108187,20253,0,0,0,0,0,627,0,115433,0,4261,4261,0,0,1415,858,181,65,311,46821,85,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5027,4945,4595,32048,10555,7068,5395,5359,18857,323,297,0,0,297,0,0,297,6219,618,2198,31,204,15,76,200,1073,372,845,372,845,0,0,0,0,3,8,0,0,0,0,4680,657,518
2003,丰台区,Fengtai Qu,110106,864000,147730,72552,18339,0,0,0,0,0,51,0,145430,0,0,0,0,0,964,459,166,66,273,42201,77,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2962,513,1237,0,0,115,439,315,700,38,25,26,16,45,73,0,0,0,0,0,0,0,0,1802,633,2618
2003,石景山区,Shijingshan Qu,110107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,海淀区,Haidian Qu,110108,1784000,181988,72992,18216,0,0,0,0,0,339,0,176637,0,0,0,0,0,1479,515,75,50,839,18801,42,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2225,1023,4373,332,2069,0,0,321,1490,363,789,357,778,7,25,0,0,0,0,0,0,0,0,1016,1710,7527
2003,门头沟区,Mentougou Qu,110109,236000,90671,40141,10050,0,0,0,0,0,303,0,93699,0,0,0,0,0,337,95,50,9,183,7486,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3058,1965,1067,1,4,0,0,703,589,778,211,508,163,107,160,0,0,13,16,0,0,0,0,700,4962,4453
2003,房山区,Fangshan Qu,110111,749000,461649,216714,62756,0,0,0,0,0,484,0,569478,0,0,0,0,0,9778,4595,1553,600,3030,39790,322,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29583,20460,81769,435,3283,6664,28378,9791,40846,2512,5264,1711,3756,857,3702,371,371,1099,2595,0,0,0,0,5828,5551,78140
2003,通州区,Tongzhou Qu,110112,610000,448860,221705,70652,0,0,0,0,0,1654,0,321738,0,0,0,0,0,26813,14413,2059,1210,9131,39356,418,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51597,23569,122818,469,2672,9466,54465,10829,58923,2650,5796,2516,5513,107,773,1535,1853,817,2682,0,0,0,0,22410,4593,54648
2003,顺义区,Shi Shunyi Qu,110113,548000,401260,186030,53333,0,0,0,0,0,1825,0,516307,0,0,0,0,0,23167,11294,1256,495,10122,38726,1180,1506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48719,18321,88394,65,348,5046,28009,10834,53479,2222,5634,2209,5599,138,876,359,350,452,1781,0,0,0,0,23422,7266,61897
2003,昌平区,Changping Qu,110114,453000,269120,123448,44204,0,0,0,0,0,548,0,127612,0,0,0,0,0,4572,2957,522,52,1040,33679,148,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14809,8393,28588,185,1033,1637,6910,5211,18363,1051,1776,847,1631,44,284,20,30,32,78,0,0,0,0,3060,6701,50183
2003,大兴区,Daxing Xian,110115,547000,369121,193026,82322,0,0,0,0,0,278,0,494651,0,0,0,0,0,35808,20374,3385,1806,10243,36260,2204,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64794,21053,115424,0,0,7999,41331,8607,49520,1673,4358,1423,3889,2733,19995,321,380,4860,16071,0,0,0,0,36638,8020,106177
2003,怀柔区,Huairou Xian,110116,267000,176835,78187,32625,0,0,0,0,0,878,0,218891,0,0,0,0,0,6704,3627,1063,270,1744,19960,767,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,23469,19736,11028,102186,72447,204311,39541,18119,32469,4699,291,0,0,291,0,0,291,13328,9277,30280,17,84,1623,8452,5157,18282,1763,2114,1419,1801,166,575,0,0,1212,3892,0,0,0,0,1569,2947,34936
2003,平谷区,Pinggu Xian,110117,392000,305799,142794,64090,0,0,0,0,0,1203,0,308897,0,0,0,0,0,14000,7494,541,607,5358,19990,261,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19815,8210,30234,0,0,2689,13186,4440,14980,762,1152,724,1113,266,839,566,430,216,499,0,0,0,0,10159,16991,209810
2003,密云县,Miyun Xian,110228,422000,306729,145108,69500,0,0,0,0,0,8545,0,333326,0,0,0,0,0,5921,3275,505,216,1925,13532,79,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,43738,35201,20288,168923,270676,339789,79131,33960,60532,21146,450,0,0,450,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,延庆县,Yanqing Xian,110229,271000,204677,95109,48933,0,0,0,0,0,3198,0,236592,0,0,0,0,0,11858,7121,1217,285,3235,6014,49,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,50240,41503,35364,49897,83689,78463,165116,38704,80167,16987,300,0,0,300,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,和平区,Heping Qu,120101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,河东区,Hedong Qu,120102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,河西区,Hexi Qu,120103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,南开区,Nankai Qu,120104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,河北区,Hebei Qu,120105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
